Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mali,MLI,710,838,779,805,848,751,780,831,900,891
Malta,MLT,21107,22859,21916,23837,26009,24003,25133,27239,30133,29416
Marshall Islands,MHL,2877,3084,3224,3297,3230,3214,3474,3667,3788,3667
Mauritania,MRT,1611,1880,1815,1892,1677,1524,1537,1578,1601,1678
Mauritius,MUS,8000,9197,9291,9637,10154,9260,9682,10485,11208,11204
Mexico,MEX,9271,10203,10242,10725,10922,9606,8740,9278,9673,9863
"Micronesia, Fed. Sts.",FSM,2885,3009,3131,2995,2971,2906,3015,3290,3568,3296
Middle East & North Africa,MEA,7169,8325,8895,8652,8537,7372,7265,7411,8050,8105
Middle income,MIC,3866,4518,4770,4991,5121,4804,4779,5193,5480,5575
Moldova,MDA,2438,2942,3046,3322,3329,2732,2880,3510,4234,4499
Monaco,MCO,150725,169021,157516,177664,189422,166012,170029,167517,185829,185835
Mongolia,MNG,2643,3758,4352,4366,4159,3919,3660,3669,4135,4295
Montenegro,MNE,6682,7319,6587,7189,7388,6517,7034,7803,8850,8832
Morocco,MAR,2840,3047,2913,3122,3172,2875,2897,3036,3222,3204
Mozambique,MOZ,471,595,658,664,674,590,429,461,499,492
Myanmar,MMR,979,1176,1166,1162,1252,1287,1267,1292,1418,1408
Namibia,NAM,5318,5723,5942,5378,5435,4869,4523,5303,5495,4957
Nauru,NRU,4754,6568,9430,9102,8829,6956,7670,8511,9762,9397
Nepal,NPL,592,699,698,716,743,793,777,911,1039,1071
Netherlands,NLD,50950,54159,50073,52184,52830,45175,46008,48675,53048,52448
New Zealand,NZL,33700,38438,39983,42963,44553,38616,40106,42849,42950,42084
Nicaragua,NIC,1504,1656,1760,1812,1934,2050,2108,2159,2021,1913
Niger,NER,473,508,526,549,562,483,495,517,572,555
Nigeria,NGA,2292,2520,2747,2998,3223,2730,2176,1969,2033,2230
North America,NAC,48374,50112,51723,53077,54638,55503,56365,58468,61164,63182
North Macedonia,MKD,4543,5064,4698,5211,5468,4840,5129,5431,6063,6093
Northern Mariana Islands,MNP,14804,13571,13828,14274,15279,16691,22247,28305,23259,23259
Norway,NOR,87694,100601,101524,102913,97019,74356,70459,75497,81734,75420
OECD members,OED,34983,37435,37185,37448,37980,35605,36031,37370,39261,39399
Oman,OMN,18757,20921,21903,20927,20132,16029,14619,15131,16415,15474
Other small states,OSS,12366,14891,15212,15542,15741,12794,12385,13404,14632,13982
Pacific island small states,PSS,2905,3401,3569,3655,3920,3776,3900,4132,4224,4193
Pakistan,PAK,987,1165,1198,1209,1251,1357,1368,1465,1482,1285
Palau,PLW,10220,10884,11967,12688,13795,15872,16932,16078,15859,15859
Panama,PAN,8082,9358,10722,11889,12796,13630,14344,15150,15593,15731
Papua New Guinea,PNG,1949,2407,2791,2730,2921,2679,2510,2695,2720,2845
Paraguay,PRY,4356,5323,5183,5927,6103,5407,5319,5681,5806,5415
Peru,PER,5082,5869,6529,6757,6673,6229,6205,6711,6941,6978
Philippines,PHL,2217,2451,2694,2871,2960,3001,3074,3123,3252,3485
Poland,POL,12600,13894,13146,13781,14348,12572,12432,13861,15461,15595
Portugal,PRT,22499,23187,20565,21647,22074,19242,19978,21490,23462,23145
Post-demographic dividend,PST,39559,42364,42149,42389,43064,40584,41290,42880,45244,45530
Pre-demographic dividend,PRE,1397,1575,1678,1791,1857,1589,1399,1415,1449,1472
Puerto Rico,PRI,26436,27279,27945,28513,28981,29763,30627,31109,31622,32874
Qatar,QAT,67403,82410,85076,85051,83859,63039,57163,61264,68794,64782
Romania,ROU,8210,9105,8535,9555,10027,8977,9567,10808,12409,12920
Russian Federation,RUS,10675,14311,15421,15975,14096,9313,8705,10720,11371,11585
Rwanda,RWA,612,672,729,726,747,755,749,772,783,802
Samoa,WSM,3566,3933,4022,4038,3938,4074,4109,4258,4183,4316
San Marino,SMR,60239,57287,49985,51573,50807,42650,43842,45394,48481,48473
Sao Tome and Principe,STP,1095,1264,1341,1577,1783,1596,1710,1811,2001,1995
Saudi Arabia,SAU,19263,23746,25243,24845,24464,20628,19879,20804,23339,23140
Senegal,SEN,1280,1374,1330,1376,1397,1219,1270,1362,1466,1447
Serbia,SRB,5735,6809,6016,6755,6600,5585,5756,6284,7246,7402
Seychelles,SYC,10805,12189,12007,14766,14700,14745,15069,15906,16391,17402
Sierra Leone,SLE,402,448,566,717,715,588,501,499,534,504
Singapore,SGP,47237,53890,55546,56967,57563,55647,56828,60914,66189,65233
Slovak Republic,SVK,16727,18338,17460,18237,18671,16309,16506,17554,19428,19329
Slovenia,SVN,23510,25095,22643,23497,24215,20882,21623,23501,26055,25739
Small states,SST,11123,13171,13485,13774,13966,11708,11312,12136,13159,12731
Solomon Islands,SLB,1290,1722,1913,1977,1997,1914,1986,2059,2138,2128
South Africa,ZAF,7329,8007,7501,6832,6433,5735,5273,6132,6374,6001
South Asia,SAS,1257,1367,1364,1382,1494,1542,1651,1867,1900,1960
South Asia (IDA & IBRD),TSA,1257,1367,1364,1382,1494,1542,1651,1867,1900,1960
South Sudan,SSD,1536,1516,1180,1779,1323,1120,,,,748
Spain,ESP,30503,31636,28324,29060,29462,25732,26505,28170,30338,29614
Sri Lanka,LKA,2800,3201,3351,3610,3819,3844,3886,4077,4081,3853
St. Kitts and Nevis,KNA,15509,16538,16045,16685,18052,18029,18812,19155,19275,19896
St. Lucia,LCA,8540,8983,9087,9379,9844,10094,10362,11047,11358,11611
St. Vincent and the Grenadines,VCT,6293,6242,6390,6640,6685,6921,7075,7213,7361,7464
Sub-Saharan Africa,SSF,1589,1745,1781,1850,1885,1673,1504,1561,1589,1585
Sub-Saharan Africa (excluding high income),SSA,1579,1734,1770,1838,1873,1663,1493,1549,1577,1573
Sub-Saharan Africa (IDA & IBRD countries),TSS,1589,1745,1781,1850,1885,1673,1504,1561,1589,1585
Sudan,SDN,1401,1438,1458,1557,1710,1910,1299,1112,624,442
Suriname,SUR,8256,8263,9201,9402,9472,8562,5539,5627,6004,6855
Sweden,SWE,52869,60756,58038,61127,60020,51545,51965,53792,54589,51610
Switzerland,CHE,74606,88416,83538,85112,86606,82082,80172,80450,82818,81994
Tajikistan,TJK,750,847,969,1048,1104,929,803,806,827,871
Tanzania,TZA,743,781,868,970,1030,948,966,1005,1061,1122
Thailand,THA,5076,5492,5861,6168,5952,5840,5994,6593,7295,7808
Timor-Leste,TLS,806,948,1013,1210,1232,1335,1358,1295,1237,1294
Togo,TGO,534,587,572,621,641,571,597,626,679,676
Tonga,TON,3553,4085,4598,4429,4394,4321,3966,4217,4364,4886
Trinidad and Tobago,TTO,16683,19034,19157,20144,20271,18290,16177,16238,17130,17276
Tunisia,TUN,4142,4265,4153,4223,4305,3862,3698,3481,3439,3318
Turkey,TUR,10672,11336,11707,12519,12096,10949,10821,10514,9370,9042
Turkmenistan,TKM,4439,5650,6675,7304,7962,6433,6390,6587,6967,6965
Turks and Caicos Islands,TCA,21028,21835,21010,21329,23296,24833,25995,25934,27142,27142
Tuvalu,TUV,3022,3641,3508,3455,3399,3198,3256,3572,3701,4059
Uganda,UGA,816,826,784,804,876,840,731,747,767,777
Ukraine,UKR,2965,3570,3855,4030,3105,2125,2188,2641,3097,3659
United Arab Emirates,ARE,33893,39195,40976,42413,43752,38663,38142,40645,43839,43103
United Kingdom,GBR,39436,42039,42463,43445,47426,44975,41064,40361,43043,42300
United States,USA,48468,49887,51611,53118,55048,56823,57928,59958,62840,65118
Upper middle income,UMC,6089,7225,7678,8070,8258,7696,7629,8365,8912,9040
Uruguay,URY,11992,14237,15172,16974,16832,15614,15387,17322,17278,16190
Uzbekistan,UZB,1634,1926,2137,2281,2492,2615,2568,1827,1529,1725
Vanuatu,VUT,2967,3265,3133,3124,3088,2802,2890,3082,3096,3058
"Venezuela, RB",VEN,13825,10955,12986,12457,16054,,,,,7212
Vietnam,VNM,1318,1525,1735,1887,2030,2085,2192,2366,2567,2715
Virgin Islands (U.S.),VIR,40043,39144,37850,34819,33573,34797,35932,35938,,48511
World,WLD,9551,10488,10605,10782,10952,10247,10282,10817,11375,11429
"Yemen, Rep.",YEM,1335,1375,1447,1607,1673,1395,1034,882,968,936
Zambia,ZMB,1489,1673,1763,1879,1763,1338,1281,1535,1556,1291
Zimbabwe,ZWE,948,1094,1305,1430,1435,1445,1465,1548,1684,1464
